stat_date,adcode,lng,lat,province,city,district,formatted_address,skycon,astro_sunrise,astro_sunset,cloudrate_avg,cloudrate_max,cloudrate_min,dswrf_avg,dswrf_max,dswrf_min,temperature_avg,temperature_max,temperature_min,precipitation_avg,precipitation_max,precipitation_min,pressure_avg,pressure_max,pressure_min,wind_direction_avg,wind_direction_max,wind_direction_min,wind_speed_avg,wind_speed_max,wind_speed_min,humidity_avg,humidity_max,humidity_min,visibility_avg,visibility_max,visibility_min,pm25_avg,pm25_max,pm25_min,life_index_carwashing_desc,life_index_carwashing_index,life_index_coldrisk_desc,life_index_coldrisk_index,life_index_comfort_desc,life_index_comfort_index,life_index_dressing_desc,life_index_dressing_index,life_index_ultraviolet_desc,life_index_ultraviolet_index,skycon_desc,precipitation_avg_desc,precipitation_max_desc,precipitation_min_desc,cloudrate_avg_desc,cloudrate_max_desc,cloudrate_min_desc,pm25_avg_desc,pm25_max_desc,pm25_min_desc,wind_direction_avg_dec,wind_direction_max_dec,wind_direction_min_dec,wind_speed_avg_desc,wind_speed_max_desc,wind_speed_min_desc,temperature_08h_20h_avg,temperature_08h_20h_max,temperature_08h_20h_min,temperature_20h_32h_avg,temperature_20h_32h_max,temperature_20h_32h_min,ds
20230216,321200,119.923116,32.455778,江苏省,泰州市,\N,江苏省泰州市,PARTLY_CLOUDY_DAY,06:42,17:46,0.26,1,0,216.4,608.5,0,4.52,10,0,0,0,0,103047.13,103325.6,102765.6,103.98,103.09,97.81,9.7,15.08,5.47,0.58,0.75,0.36,23.26,33.76,10.16,19,34,11,较适宜,2,极易发,4,湿冷,12,寒冷,7,强,4,多云（白天）,无雨,无雨,无雨,多云,多云,晴,\N,\N,\N,东东南(ESE),东东南(ESE),东(E),2级(清风),3级(树叶摇摆),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20230216
20230216,420900,113.916902,30.924568,湖北省,孝感市,\N,湖北省孝感市,PARTLY_CLOUDY_DAY,07:04,18:12,0.56,1,0.05,113.5,528.6,0,6.15,10,3,0,0,0,102445.34,102706.84,102226.84,132.54,175.43,174.92,7.56,13.16,3.6,0.54,0.67,0.36,48.34,56.71,24.37,37,50,28,较适宜,2,易发,3,很冷,8,冷,6,中等,3,多云（白天）,无雨,无雨,无雨,多云,多云,晴,\N,\N,\N,东南(SE),南(S),南(S),2级(清风),3级(树叶摇摆),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20230216
20230216,341300,116.964356,33.646373,安徽省,宿州市,\N,安徽省宿州市,PARTLY_CLOUDY_DAY,06:55,17:56,0.68,1,0.02,170.9,503.3,0,4.65,9,-1,0,0,0,102582.34,102873,102308.27,142.16,158.92,123.83,9.04,11.58,5.85,0.59,0.73,0.45,50.36,59.42,39.71,39,54,28,较适宜,2,极易发,4,湿冷,12,寒冷,7,最弱,1,多云（白天）,无雨,无雨,无雨,多云,多云,晴,\N,\N,\N,东南(SE),南东南(SSE),东南(SE),2级(清风),2级(清风),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20230216
20230216,321300,118.275198,33.963232,江苏省,宿迁市,\N,江苏省宿迁市,PARTLY_CLOUDY_DAY,06:50,17:51,0.61,1,0,176.6,530.2,0,5.77,10,2,0,0,0,102765.82,103048.06,102488.06,152.28,157.45,137.93,10.02,13.13,6.42,0.57,0.75,0.41,37.62,50.69,23.94,32,44,23,较适宜,2,极易发,4,很冷,8,冷,6,弱,2,多云（白天）,无雨,无雨,无雨,多云,多云,晴,\N,\N,\N,南东南(SSE),南东南(SSE),东南(SE),2级(清风),3级(树叶摇摆),2级(清风),\N,\N,\N,\N,\N,\N,20230216
20230216,341200,115.814204,32.890124,安徽省,阜阳市,\N,安徽省阜阳市,PARTLY_CLOUDY_DAY,06:59,18:02,0.74,1,0.01,186.9,543.5,0,6,11,1,0,0,0,102522.52,102820.55,102240,141.63,158,86.21,10.42,13.22,6.85,0.6,0.82,0.41,47.28,53.28,40.27,54,66,40,较适宜,2,极易发,4,很冷,8,冷,6,最弱,1,多云（白天）,无雨,无雨,无雨,多云,多云,晴,\N,\N,\N,东南(SE),南东南(SSE),东(E),2级(清风),3级(树叶摇摆),2级(清风),\N,\N,\N,\N,\N,\N,20230216
20230216,653200,79.922211,37.114157,新疆维吾尔自治区,和田地区,\N,新疆维吾尔自治区和田地区,CLOUDY,09:28,20:20,0.96,1,0.63,150.8,616.3,0,2.43,6,-2,0,0,0,85407.33,85639.69,85118.38,67.41,105.33,344.98,5.5,9.6,2.34,0.4,0.49,0.31,32.22,40.46,22.83,3,4,3,适宜,1,极易发,4,湿冷,12,寒冷,7,最弱,1,阴,无雨,无雨,无雨,多云,多云,多云,\N,\N,\N,东东北(ENE),东东南(ESE),北西北(NNW),1级(微风徐徐),2级(清风),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20230216
20230216,330100,120.15507,30.274084,浙江省,杭州市,\N,浙江省杭州市,CLEAR_DAY,06:38,17:47,0.16,1,0,230,642.9,0,4.98,9,1,0.02,0.19,0,102676.47,102922.2,102365.12,82.33,88.92,40.29,7.4,13.28,2.83,0.63,0.8,0.43,24.37,42.81,12.59,17,32,9,较不适宜,3,极易发,4,湿冷,12,寒冷,7,强,4,晴（白天）,无雨,小雨,无雨,晴,多云,晴,\N,\N,\N,东(E),东(E),东北(NE),2级(清风),3级(树叶摇摆),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20230216
20230216,330112,119.718891,30.237881,浙江省,杭州市,\N,浙江省杭州市临安区,LIGHT_RAIN,06:40,17:49,0.15,0.99,0,221.2,622.5,0,4.42,9,1,0.05,0.58,0,100702.66,100960.05,100400.05,69.41,76.47,69.01,5,9.49,0.76,0.64,0.75,0.46,22.19,37.14,11.57,16,30,11,较不适宜,3,极易发,4,湿冷,12,寒冷,7,强,4,小雨,小雨,暴雨,无雨,晴,多云,晴,\N,\N,\N,东东北(ENE),东东北(ENE),东东北(ENE),1级(微风徐徐),2级(清风),0级(无风),\N,\N,\N,\N,\N,\N,20230216
20230216,520600,109.189598,27.731514,贵州省,铜仁市,\N,贵州省铜仁市,CLOUDY,07:19,18:34,0.94,1,0.3,70.8,300.1,0,8.62,11,7,0,0,0,96573.56,96819.42,96339.42,67.78,37.45,55.03,3.44,5.31,1.25,0.58,0.68,0.46,29.85,42.33,14.96,10,13,10,较适宜,2,易发,3,很冷,8,冷,6,最弱,1,阴,无雨,无雨,无雨,多云,多云,多云,\N,\N,\N,东东北(ENE),东北(NE),东北(NE),1级(微风徐徐),1级(微风徐徐),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20230216
20230216,150500,122.243444,43.65289,内蒙古自治区,通辽市,\N,内蒙古自治区通辽市,PARTLY_CLOUDY_DAY,06:48,17:21,0.42,1,0,148.3,448.8,0,-2.15,5,-7,0,0,0,100042.61,100603.45,99755.8,210.22,229.4,302.66,14.06,18.93,7.52,0.51,0.7,0.32,32.85,44.22,26.58,11,21,4,适宜,1,极易发,4,湿冷,12,极冷,8,中等,3,多云（白天）,无雨,无雨,无雨,多云,多云,晴,\N,\N,\N,南西南(SSW),西南(SW),西西北(WNW),3级(树叶摇摆),3级(树叶摇摆),2级(清风),\N,\N,\N,\N,\N,\N,20230216
